username,is_bot,account_type
sim_user_0206,0,human
sim_user_0207,0,human
sim_user_0208,0,human
sim_user_0209,0,human
sim_user_0210,0,human
sim_user_0211,0,human
sim_user_0212,0,human
sim_user_0213,0,human
sim_user_0214,0,human
sim_user_0215,0,human
sim_user_0216,0,human
sim_user_0217,0,human
sim_user_0218,0,human
sim_user_0219,0,human
sim_user_0220,0,human
sim_user_0221,0,human
sim_user_0222,0,human
sim_user_0223,0,human
sim_user_0224,0,human
sim_user_0225,0,human
sim_user_0226,0,human
sim_user_0227,0,human
sim_user_0228,0,human
sim_user_0229,0,human
sim_user_0230,0,human
sim_user_0231,0,human
sim_user_0232,0,human
sim_user_0233,0,human
sim_user_0234,0,human
sim_user_0235,0,human
sim_user_0236,0,human
sim_user_0237,0,human
sim_user_0238,0,human
sim_user_0239,0,human
sim_user_0240,0,human
sim_user_0241,0,human
sim_user_0242,0,human
sim_user_0243,0,human
sim_user_0244,0,human
sim_user_0245,0,human
sim_user_0246,0,human
sim_user_0247,0,human
sim_user_0248,0,human
sim_user_0249,0,human
sim_user_0250,0,human
sim_user_0251,0,human
sim_user_0252,0,human
sim_user_0253,0,human
sim_user_0254,0,human
sim_user_0255,0,human
sim_user_0256,0,human
sim_user_0257,0,human
sim_user_0258,0,human
sim_user_0259,0,human
sim_user_0260,0,human
sim_user_0261,0,human
sim_user_0262,0,human
sim_user_0263,0,human
sim_user_0264,0,human
sim_user_0265,0,human
sim_user_0266,0,human
sim_user_0267,0,human
sim_user_0268,0,human
sim_user_0269,0,human
sim_user_0270,0,human
sim_user_0271,0,human
sim_user_0272,0,human
sim_user_0273,0,human
sim_user_0274,0,human
sim_user_0275,0,human
sim_user_0276,0,human
sim_user_0277,0,human
sim_user_0278,0,human
sim_user_0279,0,human
sim_user_0280,0,human
sim_user_0281,0,human
sim_user_0282,0,human
sim_user_0283,0,human
sim_user_0284,0,human
sim_user_0285,0,human
sim_user_0286,0,human
sim_user_0287,0,human
sim_user_0288,0,human
sim_user_0289,0,human
sim_user_0290,0,human
sim_user_0291,0,human
sim_user_0292,0,human
sim_user_0293,0,human
sim_user_0294,0,human
sim_user_0295,0,human
sim_user_0296,0,human
sim_user_0297,0,human
sim_user_0298,0,human
sim_user_0299,0,human
sim_user_0300,0,human
sim_user_0301,0,human
sim_user_0302,0,human
sim_user_0303,0,human
sim_user_0304,0,human
sim_user_0305,0,human
sim_user_0306,0,human
sim_user_0307,0,human
sim_user_0308,0,human
sim_user_0309,0,human
sim_user_0310,0,human
sim_user_0311,0,human
sim_user_0312,0,human
sim_user_0313,0,human
sim_user_0314,0,human
sim_user_0315,0,human
sim_user_0316,0,human
sim_user_0317,0,human
sim_user_0318,0,human
sim_user_0319,0,human
sim_user_0320,0,human
sim_user_0321,0,human
sim_user_0322,0,human
sim_user_0323,0,human
sim_user_0324,0,human
sim_user_0325,0,human
sim_user_0326,0,human
sim_user_0327,0,human
sim_user_0328,0,human
sim_user_0329,0,human
sim_user_0330,0,human
sim_user_0331,0,human
sim_user_0332,0,human
sim_user_0333,0,human
sim_user_0334,0,human
sim_user_0335,0,human
sim_user_0336,0,human
sim_user_0337,0,human
sim_user_0338,0,human
sim_user_0339,0,human
sim_user_0340,0,human
sim_user_0341,0,human
sim_user_0342,0,human
sim_user_0343,0,human
sim_user_0344,0,human
sim_user_0345,0,human
sim_user_0346,0,human
sim_user_0347,0,human
sim_user_0348,0,human
sim_user_0349,0,human
sim_user_0350,0,human
sim_user_0351,0,human
sim_user_0352,0,human
sim_user_0353,0,human
sim_user_0354,0,human
sim_user_0355,0,human
sim_user_0356,0,human
sim_user_0357,0,human
sim_user_0358,0,human
sim_user_0359,0,human
sim_user_0360,0,human
sim_user_0361,0,human
sim_user_0362,0,human
sim_user_0363,0,human
sim_user_0364,0,human
sim_user_0365,0,human
sim_user_0366,0,human
sim_user_0367,0,human
sim_user_0368,0,human
sim_user_0369,0,human
sim_user_0370,0,human
sim_user_0371,0,human
sim_user_0372,0,human
sim_user_0373,0,human
sim_user_0374,0,human
sim_user_0375,0,human
sim_user_0376,0,human
sim_user_0377,0,human
sim_user_0378,0,human
sim_user_0379,0,human
sim_user_0380,0,human
sim_user_0381,0,human
sim_user_0382,0,human
sim_user_0383,0,human
sim_user_0384,0,human
sim_user_0385,0,human
sim_user_0386,0,human
sim_user_0387,0,human
sim_user_0388,0,human
sim_user_0389,0,human
sim_user_0390,0,human
sim_user_0391,0,human
sim_user_0392,0,human
sim_user_0393,0,human
sim_user_0394,0,human
sim_user_0395,0,human
sim_user_0396,0,human
sim_user_0397,0,human
sim_user_0398,0,human
sim_user_0399,0,human
sim_user_0400,0,human
sim_user_0401,0,human
sim_user_0402,0,human
sim_user_0403,0,human
sim_user_0404,0,human
sim_user_0405,0,human
sim_user_0406,0,human
sim_user_0407,0,human
sim_user_0408,0,human
sim_user_0409,0,human
sim_user_0410,0,human
sim_user_0411,0,human
sim_user_0412,0,human
sim_user_0413,0,human
sim_user_0414,0,human
sim_user_0415,0,human
sim_user_0416,0,human
sim_user_0417,0,human
sim_user_0418,0,human
sim_user_0419,0,human
sim_user_0420,0,human
sim_user_0421,0,human
sim_user_0422,0,human
sim_user_0423,0,human
sim_user_0424,0,human
sim_user_0425,0,human
sim_user_0426,0,human
sim_user_0427,0,human
sim_user_0428,0,human
sim_user_0429,0,human
sim_user_0430,0,human
sim_user_0431,0,human
sim_user_0432,0,human
sim_user_0433,0,human
sim_user_0434,0,human
sim_user_0435,0,human
sim_user_0436,0,human
sim_user_0437,0,human
sim_user_0438,0,human
sim_user_0439,0,human
sim_user_0440,0,human
sim_user_0441,0,human
sim_user_0442,0,human
sim_user_0443,0,human
sim_user_0444,0,human
sim_user_0445,0,human
sim_user_0446,0,human
sim_user_0447,0,human
sim_user_0448,0,human
sim_user_0449,0,human
sim_user_0450,0,human
sim_bot_0001,1,bot
sim_bot_0002,1,bot
sim_bot_0003,1,bot
sim_bot_0004,1,bot
sim_bot_0005,1,bot
sim_bot_0006,1,bot
sim_bot_0007,1,bot
sim_bot_0008,1,bot
sim_bot_0009,1,bot
sim_bot_0010,1,bot
sim_bot_0011,1,bot
sim_bot_0012,1,bot
sim_bot_0013,1,bot
sim_bot_0014,1,bot
sim_bot_0015,1,bot
sim_bot_0016,1,bot
sim_bot_0017,1,bot
sim_bot_0018,1,bot
sim_bot_0019,1,bot
sim_bot_0020,1,bot
sim_bot_0021,1,bot
sim_bot_0022,1,bot
sim_bot_0023,1,bot
sim_bot_0024,1,bot
sim_bot_0025,1,bot
sim_bot_0026,1,bot
sim_bot_0027,1,bot
sim_bot_0028,1,bot
sim_bot_0029,1,bot
sim_bot_0030,1,bot
sim_bot_0031,1,bot
sim_bot_0032,1,bot
sim_bot_0033,1,bot
sim_bot_0034,1,bot
sim_bot_0035,1,bot
sim_bot_0036,1,bot
sim_bot_0037,1,bot
sim_bot_0038,1,bot
sim_bot_0039,1,bot
sim_bot_0040,1,bot
sim_bot_0041,1,bot
sim_bot_0042,1,bot
sim_bot_0043,1,bot
sim_bot_0044,1,bot
sim_bot_0045,1,bot
sim_bot_0046,1,bot
sim_bot_0047,1,bot
sim_bot_0048,1,bot
sim_bot_0049,1,bot
sim_bot_0050,1,bot
